inner,answer,object,name
Rex Harrison,Lilli Palmer,Unfaithfully Yours,movies
Hertha Feiler,Heinz Rühmann,Charley's Aunt,movies
Rex Harrison,Lilli Palmer,The Reluctant Debutante,movies
Rex Harrison,Lilli Palmer,Midnight Lace,movies
Diana Körner,Werner Kreindl,Creature with the Blue Hand,movies
Marianne Hoppe,Gustaf Gründgens,The Judas of Tyrol,movies
Carola Neher,Klabund,The Threepenny Opera,movies
Rex Harrison,Lilli Palmer,The Happy Thieves,movies
Hertha Feiler,Heinz Rühmann,The Saint and Her Fool,movies
Hertha Feiler,Heinz Rühmann,Escape in the Dark,movies
Carlos Thompson,Lilli Palmer,Mistress of the World,movies
Marianne Hoppe,Gustaf Gründgens,Ten Little Indians,movies
Marianne Hoppe,Gustaf Gründgens,The Wrong Move,movies
Harry Liedtke,Christa Tordy,The Merry Widower,movies
Rex Harrison,Lilli Palmer,Escape,movies
Harry Liedtke,Christa Tordy,The Tobaggan Cavalier,movies
Hertha Feiler,Heinz Rühmann,The Beautiful Miller,movies
Diana Körner,Werner Kreindl,When You're With Me,movies
Carlos Thompson,Lilli Palmer,Stefanie,movies
Marianne Hoppe,Gustaf Gründgens,The Country Schoolmaster,movies
Hertha Feiler,Heinz Rühmann,Der Engel mit dem Saitenspiel,movies
Carlos Thompson,Lilli Palmer,La pasión desnuda,movies
Carlos Thompson,Lilli Palmer,Frau Cheneys Ende,movies
Rex Harrison,Lilli Palmer,The Foxes of Harrow,movies
Carlos Thompson,Lilli Palmer,Viaje sin regreso,movies
Carlos Thompson,Lilli Palmer,Eva,movies
Carlos Thompson,Lilli Palmer,The Trap,movies
Marianne Hoppe,Gustaf Gründgens,Der Schatz im Silbersee,movies
Hertha Feiler,Heinz Rühmann,As Long as the Roses Bloom,movies
Rex Harrison,Lilli Palmer,Sidewalks of London,movies
Rex Harrison,Lilli Palmer,Ashanti,movies
Hertha Feiler,Heinz Rühmann,Mein Schulfreund,movies
Harry Liedtke,Christa Tordy,The Merry Jail,movies
Hertha Feiler,Heinz Rühmann,Men Are That Way,movies
Carlos Thompson,Lilli Palmer,La de los ojos color del tiempo,movies
Carlos Thompson,Lilli Palmer,I Was All His,movies
Hertha Feiler,Heinz Rühmann,Woman in the River,movies
Hertha Feiler,Heinz Rühmann,Wenn der weiße Flieder wieder blüht,movies
Rex Harrison,Lilli Palmer,The Fifth Musketeer,movies
Diana Körner,Werner Kreindl,Das fliegende Klassenzimmer,movies
Carlos Thompson,Lilli Palmer,Big Request Concert,movies
Hertha Feiler,Heinz Rühmann,The Muzzle,movies
Hertha Feiler,Heinz Rühmann,Happiness Is the Main Thing,movies
Carlos Thompson,Lilli Palmer,Fragata Sarmiento,movies
Carlos Thompson,Lilli Palmer,A Matter of Resistance,movies
Hertha Feiler,Heinz Rühmann,Anna Louise and Anton,movies
Hertha Feiler,Heinz Rühmann,Opera Ball,movies
Rex Harrison,Lilli Palmer,The Honey Pot,movies
Carlos Thompson,Lilli Palmer,Flame and the Flesh,movies
Hertha Feiler,Heinz Rühmann,When the Alpine Roses Bloom,movies
Carlos Thompson,Lilli Palmer,Emergency Ward,movies
Hertha Feiler,Heinz Rühmann,All Lies,movies
Rex Harrison,Lilli Palmer,Doctor Dolittle,movies
Marianne Hoppe,Gustaf Gründgens,The False Step,movies
Carlos Thompson,Lilli Palmer,The Hero of My Dreams,movies
Rex Harrison,Lilli Palmer,Major Barbara,movies
Marianne Hoppe,Gustaf Gründgens,Sergeant Schwenke,movies
Carlos Thompson,Lilli Palmer,Fort Algiers,movies
Carlos Thompson,Lilli Palmer,Los Verdes paraísos,movies
Marianne Hoppe,Gustaf Gründgens,I Need You,movies
Marianne Hoppe,Gustaf Gründgens,Trouble with Jolanthe,movies
Rex Harrison,Lilli Palmer,The Agony and the Ecstasy,movies
Rex Harrison,Lilli Palmer,A Flea in Her Ear,movies
Rex Harrison,Lilli Palmer,Crossed Swords,movies
Harry Liedtke,Christa Tordy,City of Anatol,movies
Carlos Thompson,Lilli Palmer,Raw Wind in Eden,movies
Marianne Hoppe,Gustaf Gründgens,Only One Night,movies
Diana Körner,Werner Kreindl,Barry Lyndon,movies
Carlos Thompson,Lilli Palmer,Thunderstorm,movies
Rex Harrison,Lilli Palmer,Anna and the King of Siam,movies
Carlos Thompson,Lilli Palmer,Abuso de confianza,movies
Marianne Hoppe,Gustaf Gründgens,The Strange Countess,movies
Carlos Thompson,Lilli Palmer,El túnel,movies
Harry Liedtke,Christa Tordy,The Stars Shine,movies
Rex Harrison,Lilli Palmer,The Yellow Rolls-Royce,movies
Marianne Hoppe,Gustaf Gründgens,Massacre at Marble City,movies
Harry Liedtke,Christa Tordy,The Beggar Student,movies
Carlos Thompson,Lilli Palmer,Stefanie in Rio,movies
Ingrid Caven,Rainer Werner Fassbinder,Devil's Paradise,movies
Juliane Lorenz,Rainer Werner Fassbinder,Fassbinder,movies
Debra Marshall,Stone Cold Steve Austin,Gathering of Heroes: Legend of the Seven Swords,movies
Gustaf Gründgens,Erika Mann,Pygmalion,movies
Angela Merkel,Joachim Sauer,Deutschland. Ein Sommermärchen,movies
Madeleine Stowe,Brian Benben,Worth Winning,movies
Ingrid Caven,Rainer Werner Fassbinder,Nárcisz és Psyché,movies
Diana Körner,Hubert Hahne,Potato Fritz,movies
Madeleine Ozeray,Louis Jouvet,Court Waltzes,movies
Gustaf Gründgens,Erika Mann,The Countess of Monte-Christo,movies
Madeleine Ozeray,Louis Jouvet,La Race des seigneurs,movies
Angela Merkel,Joachim Sauer,The Day the Earth Stood Still,movies
Ingrid Caven,Rainer Werner Fassbinder,Shadow of Angels,movies
Madeleine Ozeray,Louis Jouvet,Culprit,movies
Dina Eastwood,Clint Eastwood,The Forger,movies
Madeleine Ozeray,Louis Jouvet,Le vieux fusil,movies
Gustaf Gründgens,Erika Mann,From Caligari to Hitler: German Cinema in the Age of the Masses,movies
Peggy Moran,Henry Koster,Treat 'Em Rough,movies
Peggy Moran,Henry Koster,The Mummy's Hand,movies
Gustaf Gründgens,Erika Mann,Danton,movies
Jola Jobst,Hermann Graf,Little Dorrit,movies
Gustaf Gründgens,Erika Mann,Tanz auf dem Vulkan,movies
Juliane Lorenz,Rainer Werner Fassbinder,Fassbinder's Women,movies
Diana Körner,Hubert Hahne,Creature with the Blue Hand,movies
Madeleine Ozeray,Louis Jouvet,Ramuntcho,movies
Ingrid Caven,Rainer Werner Fassbinder,Fassbinder,movies
Gustaf Gründgens,Erika Mann,Yorck,movies
Peggy Moran,Henry Koster,Horror Island,movies
Jola Jobst,Hermann Graf,The Unsuspecting Angel,movies
Ingrid Caven,Rainer Werner Fassbinder,A Young Emmanuelle,movies
Gustaf Gründgens,Erika Mann,Der Raub der Mona Lisa,movies
Gustaf Gründgens,Erika Mann,So Ended a Great Love,movies
Lis Verhoeven,Mario Adorf,Don't Forget Love,movies
Diana Körner,Hubert Hahne,When You're With Me,movies
Madeleine Stowe,Brian Benben,Tropical Snow,movies
Peggy Moran,Henry Koster,Zenobia,movies
Gustaf Gründgens,Erika Mann,The Tunnel,movies
Peggy Moran,Henry Koster,"I Can't Give You Anything But Love, Baby",movies
Gustaf Gründgens,Erika Mann,Faust,movies
Gustaf Gründgens,Erika Mann,Friedemann Bach,movies
Gustaf Gründgens,Erika Mann,Happy Days in Aranjuez,movies
Madeleine Ozeray,Louis Jouvet,Knock,movies
Madeleine Ozeray,Louis Jouvet,La dame de chez Maxim's,movies
Madeleine Ozeray,Louis Jouvet,Liliom,movies
Madeleine Ozeray,Louis Jouvet,The House on the Dune,movies
Angela Merkel,Joachim Sauer,"Putin, Russia and the West",movies
Ingrid Caven,Rainer Werner Fassbinder,Satan's Brew,movies
Peggy Moran,Henry Koster,One Night in the Tropics,movies
Debra Marshall,Stone Cold Steve Austin,Just Another Romantic Wrestling Comedy,movies
Peggy Moran,Henry Koster,King of the Cowboys,movies
Ingrid Caven,Rainer Werner Fassbinder,My Little Loves,movies
Katy Perry,Orlando Bloom,Butterflies,movies
Gustaf Gründgens,Erika Mann,Ohm Krüger,movies
Gustaf Gründgens,Erika Mann,The Legacy of Pretoria,movies
Diana Körner,Hubert Hahne,Das fliegende Klassenzimmer,movies
Ingrid Caven,Rainer Werner Fassbinder,35 Shots of Rum,movies
Gustaf Gründgens,Erika Mann,M,movies
Betty Shabazz,Malcolm X,Seven Songs for Malcolm X,movies
Ingrid Caven,Rainer Werner Fassbinder,Suspiria,movies
Diana Körner,Hubert Hahne,On the Reeperbahn at Half Past Midnight,movies
Madeleine Ozeray,Louis Jouvet,Dans les rues,movies
Peggy Moran,Henry Koster,Stage Door Canteen,movies
Madeleine Ozeray,Louis Jouvet,The End of the Day,movies
Ingrid Caven,Rainer Werner Fassbinder,Beware of a Holy Whore,movies
Madeleine Ozeray,Louis Jouvet,Crime and Punishment,movies
Peggy Moran,Henry Koster,Boy Meets Girl,movies
Peggy Moran,Henry Koster,Ninotchka,movies
Gustaf Gründgens,Erika Mann,Joan of Arc,movies
Peggy Moran,Henry Koster,Trail of the Vigilantes,movies
Gustaf Gründgens,Erika Mann,Hokuspokus,movies
Ingrid Caven,Rainer Werner Fassbinder,La Paloma - The Time for a Look,movies
Madeleine Ozeray,Louis Jouvet,Casanova,movies
Gustaf Gründgens,Erika Mann,Never Trust a Woman,movies
Peggy Moran,Henry Koster,The Big Guy,movies
Madeleine Ozeray,Louis Jouvet,The Mysteries of Paris,movies
Gustaf Gründgens,Erika Mann,Liebelei,movies
Gustaf Gründgens,Erika Mann,A Glass of Water,movies
Ingrid Caven,Rainer Werner Fassbinder,Off Season,movies
Libgart Schwarz,Peter Handke,Malina,movies
Diana Körner,Hubert Hahne,Barry Lyndon,movies
Gustaf Gründgens,Erika Mann,"Louise, Queen of Prussia",movies
Ingrid Caven,Rainer Werner Fassbinder,Violanta,movies
Madeleine Stowe,Brian Benben,Octane,movies
Ingrid Caven,Rainer Werner Fassbinder,Mother Küsters' Trip to Heaven,movies
Jessica Biel,Justin Timberlake,Playing the Field,movies
Jessica Biel,Justin Timberlake,London,movies
Jessica Biel,Justin Timberlake,The Texas Chainsaw Massacre,movies
Jessica Biel,Justin Timberlake,I Now Pronounce You Chuck and Larry,movies
Carla Del Poggio,Alberto Lattuada,Lost Youth,movies
David Arquette,Courteney Cox,Slingshot,movies
Jessica Biel,Justin Timberlake,Home of the Brave,movies
Madonna,Sean Penn,Dick Tracy,movies
Madonna,Sean Penn,Desperately Seeking Susan,movies
Madonna,Sean Penn,Body of Evidence,movies
Madonna,Sean Penn,Swept Away,movies
Madonna,Sean Penn,A League of Their Own,movies
Stanley Clements,Gloria Grahame,Up in Smoke,movies
Robert Wolders,Audrey Hepburn,Tobruk,movies
Jessica Biel,Justin Timberlake,Hitchcock,movies
David Arquette,Courteney Cox,Orion,movies
Jessica Biel,Justin Timberlake,The Rules of Attraction,movies
Stanley Clements,Gloria Grahame,Jet Job,movies
David Arquette,Courteney Cox,The Key,movies
Madonna,Sean Penn,Shadows and Fog,movies
Carla Del Poggio,Alberto Lattuada,Rome 11:00,movies
David Arquette,Courteney Cox,The Runner,movies
Madonna,Sean Penn,Madonna: Truth or Dare,movies
Carla Del Poggio,Alberto Lattuada,Tragic Hunt,movies
David Arquette,Courteney Cox,A Foreign Affair,movies
David Arquette,Courteney Cox,Ghost Brigade,movies
Jessica Biel,Justin Timberlake,Cellular,movies
Carla Del Poggio,Alberto Lattuada,Sigillo rosso,movies
Joanne Woodward,Paul Newman,Winning,movies
Madonna,Sean Penn,The Next Best Thing,movies
Jessica Biel,Justin Timberlake,Powder Blue,movies
Jessica Biel,Justin Timberlake,Ulee's Gold,movies
David Arquette,Courteney Cox,Roadflower,movies
Stanley Clements,Gloria Grahame,Military Academy with That Tenth Avenue Gang,movies
Roberto Rossellini,Ingrid Bergman,General della Rovere,movies
Gussy Holl,Conrad Veidt,Madness,movies
Stanley Clements,Gloria Grahame,Pride of Maryland,movies
David Arquette,Courteney Cox,Entourage,movies
Jessica Biel,Justin Timberlake,Blade: Trinity,movies
Jessica Biel,Justin Timberlake,Total Recall,movies
Carla Del Poggio,Alberto Lattuada,Signorinette,movies
Carla Del Poggio,Alberto Lattuada,The Man on the Street,movies
Carla Del Poggio,Alberto Lattuada,The Mill on the Po,movies
Jessica Biel,Justin Timberlake,Elizabethtown,movies
David Arquette,Courteney Cox,Wrestling Isn't Wrestling,movies
Carla Del Poggio,Alberto Lattuada,The Bandit,movies
Jessica Biel,Justin Timberlake,Next,movies
Joanne Woodward,Paul Newman,A Kiss Before Dying,movies
Joanne Woodward,Paul Newman,From the Terrace,movies
David Arquette,Courteney Cox,Sold,movies
Madonna,Sean Penn,Die Another Day,movies
Carla Del Poggio,Alberto Lattuada,Tormento del passato,movies
Jessica Biel,Justin Timberlake,Easy Virtue,movies
Stanley Clements,Gloria Grahame,Robbers' Roost,movies
"Diana, Princess of Wales","Charles, Prince of Wales",Bad 25,movies
David Arquette,Courteney Cox,Pee-wee's Big Holiday,movies
Carla Del Poggio,Alberto Lattuada,Senza pietà,movies
Carla Del Poggio,Alberto Lattuada,Un garibaldino al convento,movies
David Arquette,Courteney Cox,See Spot Run,movies
Madonna,Sean Penn,A Certain Sacrifice,movies
Bertolt Brecht,Helene Weigel,From Caligari to Hitler: German Cinema in the Age of the Masses,movies
Madonna,Sean Penn,Shanghai Surprise,movies
Carla Del Poggio,Alberto Lattuada,The Ungrateful Heart,movies
Carla Del Poggio,Alberto Lattuada,Le Secret d'Hélène Marimon,movies
David Arquette,Courteney Cox,Field of Lost Shoes,movies
Madonna,Sean Penn,I'm Going to Tell You a Secret,movies
Carla Del Poggio,Alberto Lattuada,The Wanderers,movies
David Arquette,Courteney Cox,Bone Tomahawk,movies
David Arquette,Courteney Cox,The Alarmist,movies
Carla Del Poggio,Alberto Lattuada,Il Sentiero dell'odio,movies
David Arquette,Courteney Cox,RPM,movies
Robert Wolders,Audrey Hepburn,Beau Geste,movies
Jessica Biel,Justin Timberlake,Stealth,movies
Jessica Biel,Justin Timberlake,New Year's Eve,movies
Carla Del Poggio,Alberto Lattuada,Cose da pazzi,movies
Jessica Biel,Justin Timberlake,The Illusionist,movies
David Arquette,Courteney Cox,Dream with the Fishes,movies
Stanley Clements,Gloria Grahame,Destination Murder,movies
David Arquette,Courteney Cox,Conception,movies
Carla Del Poggio,Alberto Lattuada,Cavalcata d'eroi,movies
Jessica Biel,Justin Timberlake,The Tall Man,movies
David Arquette,Courteney Cox,Once Upon a Time in Venice,movies
David Arquette,Courteney Cox,Certifiably Jonathan,movies
Jessica Biel,Justin Timberlake,Valentine's Day,movies
Carla Del Poggio,Alberto Lattuada,Wolves Hunt at Night,movies
David Arquette,Courteney Cox,Hello I Must Be Going,movies
Carla Del Poggio,Alberto Lattuada,C'è sempre un ma!,movies
Stanley Clements,Gloria Grahame,Fighting Trouble,movies
Joanne Woodward,Paul Newman,"The Long, Hot Summer",movies
Jessica Biel,Justin Timberlake,The A-Team,movies
David Arquette,Courteney Cox,Johns,movies
Madonna,Sean Penn,Evita,movies
Madonna,Sean Penn,Vision Quest,movies
Lucie Mannheim,Marius Goring,"Confess, Doctor Corda",movies
Magda Schneider,Wolf Albach-Retty,Woman's Love—Woman's Suffering,movies
Robert Freitag,Maria Becker,The Great Escape,movies
Louise of Mecklenburg-Strelitz,Frederick William III of Prussia,"Louise, Queen of Prussia",movies
Lucie Mannheim,Marius Goring,Danton,movies
Lucie Mannheim,Marius Goring,The Doll Maker of Kiang-Ning,movies
Hideaki Anno,Moyoco Anno,Funky Forest,movies
Anna Karina,Jean-Luc Godard,Just like Home,movies
Anna Karina,Jean-Luc Godard,Vivre ensemble,movies
Tom Cruise,Nicole Kidman,Mission: Impossible,movies
Talisa Soto,Benjamin Bratt,Don Juan DeMarco,movies
Jane Birkin,Serge Gainsbourg,Rends-moi la clé,movies
Anna Karina,Jean-Luc Godard,All About Loving,movies
María Mercader,Vittorio De Sica,Lights and Shadows,movies
Stella Zázvorková,Miloš Kopecký,The Good Soldier Schweik,movies
Jane Birkin,Serge Gainsbourg,The Last September,movies
Magda Schneider,Wolf Albach-Retty,The Woman at the Crossroads,movies
Magda Schneider,Wolf Albach-Retty,Love is Forever,movies
Magda Schneider,Wolf Albach-Retty,Winter Night's Dream,movies
Jane Birkin,Serge Gainsbourg,Comedy!,movies
Anna Karina,Jean-Luc Godard,Zärtliche Haie,movies
Robert Freitag,Maria Becker,Conchita and the Engineer,movies
Magda Schneider,Wolf Albach-Retty,Forget Me Not,movies
Tom Cruise,Nicole Kidman,Mission: Impossible – Fallout,movies
Lucie Mannheim,Marius Goring,Princess Suwarin,movies
Jane Birkin,Serge Gainsbourg,Serious as Pleasure,movies
Lucie Mannheim,Marius Goring,The Last Witness,movies
Hideaki Anno,Moyoco Anno,Otakus in Love,movies
Magda Schneider,Wolf Albach-Retty,A Man for My Wife,movies
Jack Lawrence,Annie Cruz,Not Bewitched XXX,movies
Anna Karina,Jean-Luc Godard,The Wedding Ring,movies
Lucie Mannheim,Marius Goring,Madame Wants No Children,movies
Robert Freitag,Maria Becker,Wenn der Vater mit dem Sohne,movies
Anna Karina,Jean-Luc Godard,The Story of a Mother,movies
Mario Adorf,Lis Verhoeven,Life is a Bluff,movies
Tom Cruise,Nicole Kidman,Mission: Impossible – Rogue Nation,movies
Robert Freitag,Maria Becker,Circus of Love,movies
Helene Weigel,Bertolt Brecht,The Seventh Cross,movies
Lucie Mannheim,Marius Goring,Beyond the Curtain,movies
Lucie Mannheim,Marius Goring,The Treasure,movies
Talisa Soto,Benjamin Bratt,The Pope of Greenwich Village,movies
Alexa Vega,Carlos Pena Jr,The Murder Pact,movies
Robert Freitag,Maria Becker,The Longest Day,movies
Anna Karina,Jean-Luc Godard,The Thief of Tibidabo,movies
Sherry Boucher,George Peppard,Five Days from Home,movies
Tom Cruise,Nicole Kidman,Edge of Tomorrow,movies
Jane Birkin,Serge Gainsbourg,May Morning,movies
Anna Karina,Jean-Luc Godard,Before Winter Comes,movies
Tom Cruise,Nicole Kidman,Taps,movies
Veronica Porsche Ali,Muhammad Ali,I Am Ali,movies
Jane Birkin,Serge Gainsbourg,Sex Power,movies
Lucie Mannheim,Marius Goring,The Man Who Watched Trains Go By,movies
Tom Cruise,Nicole Kidman,The Mummy,movies
Magda Schneider,Wolf Albach-Retty,Two Happy People,movies
Tom Cruise,Nicole Kidman,Young Guns,movies
Stella Zázvorková,Miloš Kopecký,Anděl na horách,movies
Talisa Soto,Benjamin Bratt,Ballistic: Ecks vs. Sever,movies
Magda Schneider,Wolf Albach-Retty,"Marion, That's Not Nice",movies
Talisa Soto,Benjamin Bratt,Licence to Kill,movies
Magda Schneider,Wolf Albach-Retty,Eva,movies
Talisa Soto,Benjamin Bratt,The Mambo Kings,movies
Robert Freitag,Maria Becker,Love is Duty Free,movies
Jane Birkin,Serge Gainsbourg,Romance of a Horsethief,movies
Christiane Kubrick,Stanley Kubrick,Love Is Just a Fairytale,movies
Jane Birkin,Serge Gainsbourg,Venuto al mondo,movies
Talisa Soto,Benjamin Bratt,Vampirella,movies
María Mercader,Vittorio De Sica,Christmas at Camp 119,movies
Robert Freitag,Maria Becker,The Big Chance,movies
Tom Cruise,Nicole Kidman,Jack Reacher: Never Go Back,movies
Magda Schneider,Wolf Albach-Retty,The Girl at the Reception,movies
Jane Birkin,Serge Gainsbourg,Seven Deaths in the Cat's Eye,movies
Mario Adorf,Lis Verhoeven,Pizza Colonia,movies
Talisa Soto,Benjamin Bratt,Sunchaser,movies
Lucie Mannheim,Marius Goring,The Stone Rider,movies
Jane Birkin,Serge Gainsbourg,Cinderella,movies
Jane Birkin,Serge Gainsbourg,Sept morts sur ordonnance,movies
Magda Schneider,Wolf Albach-Retty,Two in a Car,movies
Magda Schneider,Wolf Albach-Retty,"Wrong Number, Miss",movies
Talisa Soto,Benjamin Bratt,Piñero,movies
María Mercader,Vittorio De Sica,Una famiglia impossibile,movies
Mario Adorf,Lis Verhoeven,The Last Charge,movies
Olga Havlová,Václav Havel,Citizen Havel,movies
Robert Freitag,Maria Becker,The Plot to Assassinate Hitler,movies
Ray Brown,Ella Fitzgerald,Jivin' in Be-Bop,movies
Robert Freitag,Maria Becker,William Tell,movies
Talisa Soto,Benjamin Bratt,Flypaper,movies
Anna Karina,Jean-Luc Godard,Surprise Sock,movies
Talisa Soto,Benjamin Bratt,Spike of Bensonhurst,movies
Robert Freitag,Maria Becker,Decision Before Dawn,movies
Helene Weigel,Bertolt Brecht,Mutter Courage und ihre Kinder,movies
Anna Karina,Jean-Luc Godard,Victoria,movies
Tom Cruise,Nicole Kidman,American Made,movies
Talisa Soto,Benjamin Bratt,Spy Hard,movies
Mario Adorf,Lis Verhoeven,Devil's Paradise,movies
Tom Cruise,Nicole Kidman,"Going Clear: Scientology, Hollywood, and the Prison of Belief",movies
Hideaki Anno,Moyoco Anno,Welcome to the Quiet Room,movies
Anna Karina,Jean-Luc Godard,Sun in Your Eyes,movies
María Mercader,Vittorio De Sica,Un garibaldino al convento,movies
María Mercader,Vittorio De Sica,Marianela,movies
Talisa Soto,Benjamin Bratt,Mortal Kombat,movies
Talisa Soto,Benjamin Bratt,Island of the Dead,movies
Talisa Soto,Benjamin Bratt,Mortal Kombat: Annihilation,movies
Anna Karina,Jean-Luc Godard,Last Song,movies
Jane Birkin,Serge Gainsbourg,"Nestor Burma, Shock Detective",movies
Anna Karina,Jean-Luc Godard,The Musician Killer,movies
Anna Karina,Jean-Luc Godard,The Salzburg Connection,movies
Talisa Soto,Benjamin Bratt,La Mission,movies
Talisa Soto,Benjamin Bratt,Elysium,movies
Magda Schneider,Wolf Albach-Retty,The Testament of Cornelius Gulden,movies
Stella Zázvorková,Miloš Kopecký,Wild Flowers,movies
Magda Schneider,Wolf Albach-Retty,Sehnsucht 202,movies
Anna Karina,Jean-Luc Godard,Un mari à un prix fixe,movies
Lucie Mannheim,Marius Goring,Hotel Reserve,movies
Tom Cruise,Nicole Kidman,Risky Business,movies
Jane Birkin,Serge Gainsbourg,"If You Die, I'll Kill You",movies
Tom Cruise,Nicole Kidman,Junket Whore,movies
Jane Birkin,Serge Gainsbourg,A Hell of a Day,movies
Jane Birkin,Serge Gainsbourg,The Pleasure Pit,movies
Tony Curtis,Christine Kaufmann,Play It to the Bone,movies
Harry Liedtke,Christa Tordy,The Circus Princess,movies
Harry Liedtke,Christa Tordy,A Pair of Lovers,movies
Harry Liedtke,Christa Tordy,That's All That Matters,movies
Harry Liedtke,Christa Tordy,No More Love,movies
Harry Liedtke,Christa Tordy,Does a Woman Have to Become a Mother?,movies
Tony Curtis,Christine Kaufmann,Houdini,movies
Tony Curtis,Christine Kaufmann,The Great Impostor,movies
Harry Liedtke,Christa Tordy,A Dream of Happiness,movies
Harry Liedtke,Christa Tordy,The Queen Was in the Parlour,movies
Harry Liedtke,Christa Tordy,The Carousel of Life,movies
Tony Curtis,Christine Kaufmann,The Defiant Ones,movies
Harry Liedtke,Christa Tordy,Lulu,movies
Tony Curtis,Christine Kaufmann,Operation Petticoat,movies
Harry Liedtke,Christa Tordy,The Bohemian Dancer,movies
Harry Liedtke,Christa Tordy,The World Wants To Be Deceived,movies
Harry Liedtke,Christa Tordy,A Woman for 24 Hours,movies
Harry Liedtke,Christa Tordy,Love and Trumpets,movies
Harry Liedtke,Christa Tordy,Love on Skis,movies
Harry Liedtke,Christa Tordy,The Marriage Nest,movies
Harry Liedtke,Christa Tordy,Youth of the Big City,movies
Harry Liedtke,Christa Tordy,The Fate of a Night,movies
Greta Schröder,Paul Wegener,Anna Louise and Anton,movies
Harry Liedtke,Christa Tordy,Der Herzensphotograph,movies
Harry Liedtke,Christa Tordy,The Man Without Sleep,movies
Tony Curtis,Christine Kaufmann,Spartacus,movies
Christian Ulmen,Collien Ulmen-Fernandes,3faltig,movies
Harry Liedtke,Christa Tordy,The Page from the Dalmasse Hotel,movies
Tony Curtis,Christine Kaufmann,Goodbye Charlie,movies
Harry Liedtke,Christa Tordy,Orient,movies
Harry Liedtke,Christa Tordy,Marie's Soldier,movies
Harry Liedtke,Christa Tordy,Weekend Magic,movies
Harry Liedtke,Christa Tordy,A Crazy Night,movies
Harry Liedtke,Christa Tordy,The Daughter of Mehemed,movies
Harry Liedtke,Christa Tordy,My Daughter's Tutor,movies
Harry Liedtke,Christa Tordy,Madame Wants No Children,movies
Bettina Moissi,Heinz Berggruen,The Original Sin,movies
Harry Liedtke,Christa Tordy,My Friend Harry,movies
Harry Liedtke,Christa Tordy,Robert and Bertram,movies
Harry Liedtke,Christa Tordy,Nixchen,movies
Harry Liedtke,Christa Tordy,The Girl on a Swing,movies
Christian Ulmen,Collien Ulmen-Fernandes,Men in the City,movies
Tony Curtis,Christine Kaufmann,"Not with My Wife, You Don't!",movies
Tony Curtis,Christine Kaufmann,The Great Race,movies
Greta Schröder,Paul Wegener,The Golem: How He Came into the World,movies
Tony Curtis,Christine Kaufmann,Taras Bulba,movies
Tony Curtis,Christine Kaufmann,Son of Ali Baba,movies
Margarita Broich,Martin Wuttke,Twin Sisters,movies
Harry Liedtke,Christa Tordy,The Blue Mauritius,movies
Harry Liedtke,Christa Tordy,The Mystery of Bangalore,movies
Harry Liedtke,Christa Tordy,The Spinning Ball,movies
Harry Liedtke,Christa Tordy,The Merchant of Venice,movies
Harry Liedtke,Christa Tordy,Chance the Idol,movies
Bettina Moissi,Heinz Berggruen,In Those Days,movies
Harry Liedtke,Christa Tordy,Father and Son,movies
Harry Liedtke,Christa Tordy,The Little Napoleon,movies
Tony Curtis,Christine Kaufmann,Sex and the Single Girl,movies
Harry Liedtke,Christa Tordy,The Game of Love,movies
Harry Liedtke,Christa Tordy,The Great Longing,movies
Harry Liedtke,Christa Tordy,"Peter Voss, Thief of Millions",movies
Diana Körner,Werner Kreindl,On the Reeperbahn at Half Past Midnight,movies
Harry Liedtke,Christa Tordy,The Carnival Prince,movies
Harry Liedtke,Christa Tordy,A Modern Casanova,movies
Tony Curtis,Christine Kaufmann,Some Like It Hot,movies
Harry Liedtke,Christa Tordy,Die Fledermaus,movies
Harry Liedtke,Christa Tordy,The Sacrifice,movies
Christian Ulmen,Collien Ulmen-Fernandes,Vicky and the Treasure of the Gods,movies
Harry Liedtke,Christa Tordy,Carnival Magic,movies
Tony Curtis,Christine Kaufmann,The Boston Strangler,movies
Harry Liedtke,Christa Tordy,Nanon,movies
Tony Curtis,Christine Kaufmann,The Celluloid Closet,movies
Harry Liedtke,Christa Tordy,The Mistress,movies
Margarita Broich,Martin Wuttke,The Reader,movies
Harry Liedtke,Christa Tordy,The Hero of Every Girl's Dream,movies
Harry Liedtke,Christa Tordy,Countess Maritza,movies
Greta Schröder,Paul Wegener,Kolberg,movies
Tony Curtis,Christine Kaufmann,Boeing Boeing,movies
Harry Liedtke,Christa Tordy,Danube Waltz,movies
Bettina Moissi,Heinz Berggruen,The Comedians,movies
Tony Curtis,Christine Kaufmann,"Captain Newman, M.D.",movies
Tony Curtis,Christine Kaufmann,The Mummy Lives,movies
Harry Liedtke,Christa Tordy,Josef the Chaste,movies
Harry Liedtke,Christa Tordy,The Adventurers,movies
Tony Curtis,Christine Kaufmann,Don't Make Waves,movies
Tony Curtis,Christine Kaufmann,You Can't Win 'Em All,movies
Harry Liedtke,Christa Tordy,Vendetta,movies
Harry Liedtke,Christa Tordy,The Dancer Barberina,movies
Harry Liedtke,Christa Tordy,The Blue Danube,movies
Harry Liedtke,Christa Tordy,The Black Domino,movies
Harry Liedtke,Christa Tordy,The Wiskottens,movies
Harry Liedtke,Christa Tordy,What a Girl,movies
Ted Danson,Mary Steenburgen,She's Having a Baby,movies
Malcolm McDowell,Mary Steenburgen,American Satan,movies
Malcolm McDowell,Mary Steenburgen,Excision,movies
