subject,predicate,object,source,validity
drone,meronym,nucleus,wordnet/conceptnet,always true
CIT Group,hypernym,company,wikidata,always true
George Touche,founder,Deloitte,wikidata,always true
element,/r/IsA,environment,conceptnet,always true
Farhan Akhtar,director,Don,wikidata,always true
John W. Eaves,CEO,Arch Coal,wikidata,always true
cicada,hypernym,animal,wordnet/conceptnet,always true
Austria,hypernym,country,wikidata,always true
Barbara Eileen,spouse,James Gordon,wikidata,always true
"Frances Lumley-Saunderson, Countess of Scarbrough",child,"George Hamilton, 1st Earl of Orkney",wikidata,always true
Joshua Brown,director,The Man Who Would Be Polka King,wikidata,always true
1995,release year,Tremors 2: Aftershocks,wikidata,always true
Lydia Henchman,child,John Hancock,wikidata,always true
William Hamill,hypernym,person,wikidata,always true
War,hypernym,band,wikidata,always true
Lori Beth Allen,spouse,Richie Cunningham,wikidata,always true
Julia Gardiner Tyler,child,David Gardiner,wikidata,always true
William Kennedy,child,Stephen Edward Smith,wikidata,always true
2018,release year,Pari,wikidata,always true
Austin Eldon Knowlton,spouse,Susan J. Dlott,wikidata,always true
drone,meronym,cell,wordnet/conceptnet,always true
jellyfish,meronym,vacuole,wordnet/conceptnet,always true
Anne Shirley,hypernym,person,wikidata,always true
Mark Hoppus,band member,Blink-182,wikidata,always true
cathedral,meronym,door,wordnet/conceptnet,always true
Death in June,hypernym,band,wikidata,always true
Edward Pawley,hypernym,person,wikidata,always true
Norman Leslie Rowe II,child,Norman Leslie Rowe I,wikidata,always true
trooper,meronym,organelle,wordnet/conceptnet,always true
day,meronym,hour,wordnet/conceptnet,always true
ant,meronym,nose,wordnet/conceptnet,always true
Jean Crouch,spouse,Strom Thurmond,wikidata,always true
Melissa Gilbert,hypernym,person,wikidata,always true
Drew Daniel,band member,Matmos,wikidata,always true
Tor Wallin,band member,De Vet Du,wikidata,always true
Roger Spottiswoode,director,Tomorrow Never Dies,wikidata,always true
stable,meronym,window,wordnet/conceptnet,always true
Fremont,headquarter,Lam Research,wikidata,always true
climber,hypernym,plant,wordnet/conceptnet,always true
Ljubljana,capital,Slovenia,wikidata,always true
Priscilla Nedd-Friendly,spouse,David T. Friendly,wikidata,always true
Timothy,child,Mildred McVeigh,wikidata,always true
Mavrik,hypernym,band,wikidata,always true
André Michelin,founder,Michelin,wikidata,always true
M People,hypernym,band,wikidata,always true
milk,meronym,food,wordnet/conceptnet,always true
JD Samson,band member,Le Tigre,wikidata,always true
mink,hypernym,mammal,wordnet/conceptnet,always true
Mike Portnoy,band member,The Neal Morse Band,wikidata,always true
scooter,meronym,wheel,wordnet/conceptnet,always true
chimp,meronym,eye,wordnet/conceptnet,always true
Rise of the Zombie,hypernym,movie,wikidata,always true
cricket,meronym,head,wordnet/conceptnet,always true
burglar,meronym,nucleus,wordnet/conceptnet,always true
person,/r/Desires,logical answers to questions,conceptnet,always true
Boy Missing,hypernym,movie,wikidata,always true
Joy Division,hypernym,band,wikidata,always true
Wael Ihsan,director,Ms. Mammy,wikidata,always true
person,/r/Desires,material things,conceptnet,always true
Raúl Campos,director,Ricardo O'Farrill: Abrazo navideño,wikidata,always true
Mutt Williams,child,Marion Ravenwood,wikidata,always true
Dollar Tree,hypernym,company,wikidata,always true
adder,meronym,cheek,wordnet/conceptnet,always true
kestrel,meronym,skull,wordnet/conceptnet,always true
gorilla,meronym,cheek,wordnet/conceptnet,always true
Maybelle Carter,hypernym,person,wikidata,always true
Buzz Kulik,director,Too Young the Hero,wikidata,always true
Big Time Movie,hypernym,movie,wikidata,always true
Dan Hicken,spouse,Donna Deegan,wikidata,always true
cucumber,hypernym,plant,wordnet/conceptnet,always true
Collier Young,spouse,Joan Fontaine,wikidata,always true
Triangle Sun,hypernym,band,wikidata,always true
Peter Green,band member,Nepal,wikidata,always true
dinosaur,meronym,brow,wordnet/conceptnet,always true
Florence E.,child,Walter E. Ware,wikidata,always true
2015,release year,Beauty and the Bestie,wikidata,always true
Charles Bertrand Lewis,hypernym,person,wikidata,always true
The Bo-Keys,hypernym,band,wikidata,always true
Estelle,spouse,Carl Reiner,wikidata,always true
The Long Ryders,hypernym,band,wikidata,always true
Richmond,headquarter,Dominion Energy,wikidata,always true
Houston,headquarter,Occidental Petroleum,wikidata,always true
Jagdish Chandra Mahindra,founder,Mahindra & Mahindra,wikidata,always true
turtle,meronym,tail,wordnet/conceptnet,always true
Grupo Clarín,hypernym,company,wikidata,always true
champagne,hypernym,food,wordnet/conceptnet,always true
Luther Reed,hypernym,person,wikidata,always true
Cree Summer,hypernym,person,wikidata,always true
anesthetic,hypernym,drug,wordnet/conceptnet,always true
Alex Callier,band member,Hooverphonic,wikidata,always true
mynah,meronym,feather,wordnet/conceptnet,always true
Britney Spears,spouse,Jason Allen Alexander,wikidata,always true
foxhound,meronym,head,wordnet/conceptnet,always true
castle,meronym,mattress,wordnet/conceptnet,always true
Anjanette,child,Samuel M. Comer,wikidata,always true
2017,release year,Lynne Koplitz: Hormonal Beast,wikidata,always true
Akron,headquarter,FirstEnergy,wikidata,always true
Rocky,hypernym,movie,wikidata,always true
2017,release year,Maacher Jhol,wikidata,always true
cowshed,meronym,hinge,wordnet/conceptnet,always true
Frank Lovejoy,hypernym,person,wikidata,always true
Alex Konanykhin,hypernym,person,wikidata,always true
moth,meronym,wing,wordnet/conceptnet,always true
Charles V. Bergh,CEO,Levi Strauss,wikidata,always true
Joseph Smith III,hypernym,person,wikidata,always true
sandpit,hypernym,pit,wordnet/conceptnet,always true
Ann Eliza Bleecker,hypernym,person,wikidata,always true
kennel,meronym,roof,wordnet/conceptnet,always true
Berwyn,headquarter,Triumph Group,wikidata,always true
Brock Lesnar,hypernym,person,wikidata,always true
cuckoo,meronym,tail,wordnet/conceptnet,always true
Di Renjie zhi Sidatianwang,hypernym,movie,wikidata,always true
mailer,hypernym,container,wordnet/conceptnet,always true
Afton Smith,hypernym,person,wikidata,always true
Stewie,child,Peter Griffin,wikidata,always true
yak,meronym,eye,wordnet/conceptnet,always true
Mekaal Hasan,band member,Mekaal Hasan Band,wikidata,always true
time,hypernym,period,wordnet/conceptnet,always true
length,hypernym,quantity,wordnet/conceptnet,always true
The Walt Disney Company,hypernym,company,wikidata,always true
What the F* Is Going On?,hypernym,movie,wikidata,always true
shot,hypernym,activity,wordnet/conceptnet,always true
poppy,meronym,blossom,wordnet/conceptnet,always true
Anton Otto,spouse,Mary Ellen Sigsbee Fischer,wikidata,always true
Pinhead Gunpowder,hypernym,band,wikidata,always true
Q6646123,hypernym,band,wikidata,always true
Ivy Nicholson,hypernym,person,wikidata,always true
KK Null,band member,Zeni Geva,wikidata,always true
Lyapis Trubetskoy,hypernym,band,wikidata,always true
grocer,hypernym,individual,wordnet/conceptnet,always true
Nicolas Nabokov,spouse,Patricia Blake,wikidata,always true
Barney Hill,hypernym,person,wikidata,always true
Catherine Burnett,spouse,Peter B. Van Deusen,wikidata,always true
Julie London,spouse,Bobby Troup,wikidata,always true
postmaster,hypernym,person,wordnet/conceptnet,always true
William R. Gorham,founder,Nissan,wikidata,always true
Samuli Ponsimaa,band member,Finntroll,wikidata,always true
Saul Bellow,hypernym,person,wikidata,always true
Forks Over Knives,hypernym,movie,wikidata,always true
swan,meronym,lip,wordnet/conceptnet,always true
Mariana Tschudi,director,Pacificum: Return to the Ocean,wikidata,always true
Gridley Bryant,hypernym,person,wikidata,always true
Joshua Miller,band member,Nemesis,wikidata,always true
Made in China,hypernym,movie,wikidata,always true
Kira Pika,hypernym,band,wikidata,always true
castle,meronym,foyer,wordnet/conceptnet,always true
monkey,meronym,ear,wordnet/conceptnet,always true
Taco Bell,hypernym,company,wikidata,always true
mole,meronym,mouth,wordnet/conceptnet,always true
Keith Cozza,CEO,Icahn Enterprises,wikidata,always true
elastic,hypernym,fabric,wordnet/conceptnet,always true
UB40,hypernym,band,wikidata,always true
rig,hypernym,gear,wordnet/conceptnet,always true
David Lean,director,Doctor Zhivago,wikidata,always true
Kathy,child,Carmen Dragon,wikidata,always true
Owen McLaughlin,spouse,Margaret Agnes Conboy,wikidata,always true
Dustin Belt,band member,Heffron Drive,wikidata,always true
Valkyre,hypernym,band,wikidata,always true
nose,/r/PartOf,head,conceptnet,always true
cafe,meronym,base,wordnet/conceptnet,always true
Francis II,founder,University of Rennes 1,wikidata,always true
Steve Timmons,hypernym,person,wikidata,always true
Mark Lambert,hypernym,person,wikidata,always true
serpent,meronym,cell,wordnet/conceptnet,always true
Raiden Yuzawa,band member,RX,wikidata,always true
dye,/r/IsA,coloring material,conceptnet,always true
Hall,child,Anna Hall Roosevelt,wikidata,always true
conger,meronym,cell,wordnet/conceptnet,always true
Navistar International,hypernym,company,wikidata,always true
Magnus Karlsson,band member,Allen-Lande,wikidata,always true
rattlesnake,meronym,jaw,wordnet/conceptnet,always true
wasp,meronym,carapace,wordnet/conceptnet,always true
2002,release year,Deewangee,wikidata,always true
insect,meronym,jaw,wordnet/conceptnet,always true
bird,meronym,jaw,wordnet/conceptnet,always true
stew,hypernym,food,wordnet/conceptnet,always true
Leopold Stanislaus Stokowski,child,Gloria Vanderbilt,wikidata,always true
A Night at the Roxbury,hypernym,movie,wikidata,always true
The Fugitives,hypernym,band,wikidata,always true
sailor,meronym,trait,wordnet/conceptnet,always true
Selim A. Bassoul,CEO,Middleby,wikidata,always true
Peter A. Peyser,hypernym,person,wikidata,always true
Darren Browne,band member,The Burning Hell,wikidata,always true
nightdress,meronym,sleeve,wordnet/conceptnet,always true
Trailer Park Boys Live at the North Pole,hypernym,movie,wikidata,always true
Arthur Sze,spouse,Carol Moldaw,wikidata,always true
yesterday,meronym,daylight,wordnet/conceptnet,always true
Andreas Lundstedt,band member,Alcazar,wikidata,always true
William Welch Deloitte,founder,Deloitte,wikidata,always true
Kim Shin-young,band member,Celeb Five,wikidata,always true
person,/r/Desires,prosper,conceptnet,always true
ballet,hypernym,music,wordnet/conceptnet,always true
Satellite Party,hypernym,band,wikidata,always true
Matías Gueilburt,director,El Che,wikidata,always true
archer,meronym,cell,wordnet/conceptnet,always true
Brett Gurewitz,band member,Error,wikidata,always true
tom,meronym,nucleus,wordnet/conceptnet,always true
chimp,meronym,jaw,wordnet/conceptnet,always true
Ann,spouse,Jeff VanderMeer,wikidata,always true
Zimmer Biomet Holdings,hypernym,company,wikidata,always true
hornet,meronym,face,wordnet/conceptnet,always true
mace,meronym,nucleus,wordnet/conceptnet,always true
Square,hypernym,company,wikidata,always true
2010,release year,Winter's Bone,wikidata,always true
Vincent Van Patten,hypernym,person,wikidata,always true
livestock,meronym,nose,wordnet/conceptnet,always true
mink,meronym,jaw,wordnet/conceptnet,always true
Joyce Hooper Corrington,hypernym,person,wikidata,always true
Insomnium,hypernym,band,wikidata,always true
mate,meronym,organelle,wordnet/conceptnet,always true
worth,hypernym,quantity,wordnet/conceptnet,always true
barn,/r/IsA,farm building,conceptnet,always true
cyclist,hypernym,traveler,wordnet/conceptnet,always true
house,meronym,doorway,wordnet/conceptnet,always true
IBM,hypernym,company,wikidata,always true
James,child,Charles Stillman,wikidata,always true
Something Corporate,hypernym,band,wikidata,always true
SF,headquarter,PG& E Corp.,wikidata,always true
turquoise,hypernym,mineral,wordnet/conceptnet,always true
Jim Adkins,band member,Jimmy Eat World,wikidata,always true
Tommy Tuovinen,band member,myGRAIN,wikidata,always true
Masato Nakamura,band member,Dreams Come True,wikidata,always true
Steve Fenton,spouse,Leeza Gibbons,wikidata,always true
Stephanie Flynn,spouse,Gibbs,wikidata,always true
Tony Hadley,band member,Spandau Ballet,wikidata,always true
giraffe,meronym,eye,wordnet/conceptnet,always true
Bernie Sanders,hypernym,person,wikidata,always true
Dan Topping,spouse,Sonja Henie,wikidata,always true
Paul Reubens,director,Pee-wee's Playhouse: Christmas Special,wikidata,always true
Taikapeili,hypernym,band,wikidata,always true
A Love Story,hypernym,movie,wikidata,always true
Penske Automotive Group,hypernym,company,wikidata,always true
Douglas A. Pertz,CEO,Meritor,wikidata,always true
2017,release year,The Good Catholic,wikidata,always true
duck,meronym,eye,wordnet/conceptnet,always true
band,/r/IsA,belt,conceptnet,always true
Jimmy Somerville,band member,Bronski Beat,wikidata,always true
shampoo,hypernym,material,wordnet/conceptnet,always true
Toby Trackman,director,The Creative Brain,wikidata,always true
worm,/r/IsA,invertebrate,conceptnet,always true
Evelyn Ward,spouse,Jack Cassidy,wikidata,always true
mare,hypernym,mammal,wordnet/conceptnet,always true
John S. Detlie,spouse,Veronica Lake,wikidata,always true
armadillo,hypernym,mammal,wordnet/conceptnet,always true
2007,release year,Hattrick,wikidata,always true
exosphere,hypernym,region,wordnet/conceptnet,always true
Ömer Faruk Sorak,director,Aşk Tesadüfleri Sever,wikidata,always true
Melbourne,headquarter,Harris,wikidata,always true
Scott-David Allen,band member,A Covenant of Thorns,wikidata,always true
chemist,meronym,trait,wordnet/conceptnet,always true
Dan Donegan,band member,Fight or Flight,wikidata,always true
2016,release year,Vegas Baby,wikidata,always true
Andrew Wessels,director,Blitz Patrollie,wikidata,always true
Burbank,headquarter,Disney,wikidata,always true
syrup,hypernym,food,wordnet/conceptnet,always true
Scump,child,Shawn Abner,wikidata,always true
python,meronym,nucleus,wordnet/conceptnet,always true
Hantu Kak Limah,hypernym,movie,wikidata,always true
dog,/r/CapableOf,dig up bones,conceptnet,always true
lolly,hypernym,quantity,wordnet/conceptnet,always true
snail,meronym,brow,wordnet/conceptnet,always true
glue,hypernym,material,wordnet/conceptnet,always true
Mildred,child,Lawrence Washington,wikidata,always true
sailor,meronym,nucleus,wordnet/conceptnet,always true
Michael H. Thaman,CEO,Owens Corning,wikidata,always true
Hit Squad,hypernym,band,wikidata,always true
taster,meronym,trait,wordnet/conceptnet,always true
Jesse W.,child,Jesse L. Reno,wikidata,always true
Billy Joel,hypernym,person,wikidata,always true
Nia Sanchez,spouse,Daniel Booko,wikidata,always true
game,meronym,lip,wordnet/conceptnet,always true
Jill Jackson,band member,Speedway,wikidata,always true
John Whitney,hypernym,person,wikidata,always true
Nikhil Varty,CEO,ServiceMaster Global Holdings,wikidata,always true
sake,hypernym,quality,wordnet/conceptnet,always true
Adam Curry,hypernym,person,wikidata,always true
Will,child,Franklin Graham,wikidata,always true
spacecraft,hypernym,equipment,wordnet/conceptnet,always true
Eric Melvin,band member,NOFX,wikidata,always true
Bill Waller,hypernym,person,wikidata,always true
2019,release year,Staged Killer,wikidata,always true
Thomas J. Nimbley,CEO,PBF Energy,wikidata,always true
servant,meronym,trait,wordnet/conceptnet,always true
Bir Baba Hindu,hypernym,movie,wikidata,always true
Elliott Roosevelt,spouse,Faye Emerson,wikidata,always true
Daisy,spouse,Tom Buchanan,wikidata,always true
Omaha,headquarter,Werner Enterprises,wikidata,always true
dormouse,meronym,brow,wordnet/conceptnet,always true
iguana,meronym,chin,wordnet/conceptnet,always true
Mattel,hypernym,company,wikidata,always true
Sean Penn,hypernym,person,wikidata,always true
hen,meronym,eye,wordnet/conceptnet,always true
prime,hypernym,quantity,wordnet/conceptnet,always true
drone,meronym,ear,wordnet/conceptnet,always true
money,/r/IsA,medium of exchange,conceptnet,always true
Valhi,hypernym,company,wikidata,always true
Somaliland,hypernym,country,wikidata,always true
Ozma,hypernym,band,wikidata,always true
cock-a-doodle-doo,hypernym,sound,wordnet/conceptnet,always true
Susan Elia,spouse,Noel MacNeal,wikidata,always true
Virgil Earp,hypernym,person,wikidata,always true
tom,hypernym,animal,wordnet/conceptnet,always true
bone,/r/IsA,important part of person,conceptnet,always true
climber,hypernym,person,wordnet/conceptnet,always true
Andy Stapp,hypernym,person,wikidata,always true
Danny Southwick,child,Shawn King,wikidata,always true
Meat Beat Manifesto,hypernym,band,wikidata,always true
flea,meronym,face,wordnet/conceptnet,always true
Charles William Eliot,hypernym,person,wikidata,always true
elk,meronym,jaw,wordnet/conceptnet,always true
John Ellison Conlee,hypernym,person,wikidata,always true
Dret & Krulle,hypernym,band,wikidata,always true
Dream Boat,hypernym,movie,wikidata,always true
Knoxville,headquarter,Scripps Networks Interactive,wikidata,always true
William S. Demchak,CEO,PNC Financial Services,wikidata,always true
h,hypernym,quantity,wordnet/conceptnet,always true
gun,hypernym,instrument,wordnet/conceptnet,always true
Lil Wayne,band member,Hot Boys,wikidata,always true
cigar,hypernym,material,wordnet/conceptnet,always true
Santa Monica,headquarter,Activision Blizzard,wikidata,always true
person,/r/Desires,meet mot hoople,conceptnet,always true
wind,/r/IsA,exhalation,conceptnet,always true
Abraham Williams,hypernym,person,wikidata,always true
Debrah Farentino,hypernym,person,wikidata,always true
Kaitlyn Ashley,hypernym,person,wikidata,always true
painter,meronym,cell,wordnet/conceptnet,always true
quack-quack,meronym,brow,wordnet/conceptnet,always true
Dear Zindagi,hypernym,movie,wikidata,always true
Chad Fischer,band member,Lazlo Bane,wikidata,always true
kingfisher,meronym,nucleus,wordnet/conceptnet,always true
John Younger,child,Bersheba Leighton Fristoe,wikidata,always true
James C. O'Rourke,CEO,Mosaic,wikidata,always true
Alexandra,child,Paul Pelosi,wikidata,always true
Callista,spouse,Newt Gingrich,wikidata,always true
fury,hypernym,feeling,wordnet/conceptnet,always true
2018,release year,Recall,wikidata,always true
poodle,meronym,pad,wordnet/conceptnet,always true
Baltimore,headquarter,Under Armour,wikidata,always true
Benjamin Peirce,hypernym,person,wikidata,always true
Troy: The Odyssey,hypernym,movie,wikidata,always true
Elizabeth Franz,hypernym,person,wikidata,always true
Ted Braun,director,Betting on Zero,wikidata,always true
Gontiti,hypernym,band,wikidata,always true
mailer,hypernym,person,wordnet/conceptnet,always true
Peggy White,hypernym,person,wikidata,always true
laurel,meronym,trunk,wordnet/conceptnet,always true
Caleb and Sol,hypernym,band,wikidata,always true
starch,hypernym,compound,wordnet/conceptnet,always true
Lucy Baxley,hypernym,person,wikidata,always true
United States Bureau of Reclamation,hypernym,company,wikidata,always true
ASGN,hypernym,company,wikidata,always true
person,/r/Desires,live long healthy life,conceptnet,always true
cardamom,meronym,vegetable,wordnet/conceptnet,always true
Ek Hasina Thi,hypernym,movie,wikidata,always true
Jamey Jasta,band member,Icepick,wikidata,always true
Bob Said,hypernym,person,wikidata,always true
Karen Morley,hypernym,person,wikidata,always true
Stephanie Allain,spouse,Mitch Marcus,wikidata,always true
worm,meronym,nose,wordnet/conceptnet,always true
worker,/r/CapableOf,stock shelves,conceptnet,always true
Jake E,band member,Amaranthe,wikidata,always true
trawler,meronym,trait,wordnet/conceptnet,always true
2017,release year,Monster Island,wikidata,always true
hen,meronym,eyelid,wordnet/conceptnet,always true
2018,release year,Crossroads: One Two Jaga,wikidata,always true
Eric Radomski,director,Marvel's Iron Man & Hulk: Heroes United,wikidata,always true
1999,release year,Superstar,wikidata,always true
Bazooka Joe,hypernym,band,wikidata,always true
jade,hypernym,crystal,wordnet/conceptnet,always true
temper,hypernym,trait,wordnet/conceptnet,always true
John R.,child,Martha Rivers Ingram,wikidata,always true
house,/r/IsA,family,conceptnet,always true
gull,meronym,nose,wordnet/conceptnet,always true
starfish,meronym,face,wordnet/conceptnet,always true
Marjorie Acker Phillips,hypernym,person,wikidata,always true
Hard 'n Phirm,hypernym,band,wikidata,always true
jacksoul,hypernym,band,wikidata,always true
sport,/r/IsA,occupation,conceptnet,always true
gnu,meronym,cell,wordnet/conceptnet,always true
Audrey Geisel,spouse,Dr. Seuss,wikidata,always true
The Incident,hypernym,movie,wikidata,always true
wraparound,hypernym,garment,wordnet/conceptnet,always true
Nordson,hypernym,company,wikidata,always true
teller,hypernym,person,wordnet/conceptnet,always true
Caracas,capital,Venezuela,wikidata,always true
llama,meronym,nose,wordnet/conceptnet,always true
Jill Eikenberry,spouse,Michael Tucker,wikidata,always true
lunatic,hypernym,person,wordnet/conceptnet,always true
abbey,meronym,boiler,wordnet/conceptnet,always true
bee,meronym,head,wordnet/conceptnet,always true
John P. A. Ioannidis,hypernym,person,wikidata,always true
Ed,child,Ben Thigpen,wikidata,always true
The Outsider,hypernym,movie,wikidata,always true
Tampa Bay Buccaneers,super bowl winner,2003,wikidata,always true
pouch,/r/IsA,sac,conceptnet,always true
holly,meronym,xylem,wordnet/conceptnet,always true
kennel,meronym,hinge,wordnet/conceptnet,always true
rooster,meronym,brain,wordnet/conceptnet,always true
John Reed,spouse,Louise Bryant,wikidata,always true
Elongated Man,spouse,Sue Dibny,wikidata,always true
Rita Hayworth,spouse,James Hill,wikidata,always true
farmhouse,meronym,shelf,wordnet/conceptnet,always true
Cinema,hypernym,band,wikidata,always true
Capercaillie,hypernym,band,wikidata,always true
dragonfly,meronym,skull,wordnet/conceptnet,always true
Lillian,spouse,Russell Hoban,wikidata,always true
c,hypernym,quantity,wordnet/conceptnet,always true
Shelton,headquarter,Hubbell,wikidata,always true
Along Came a Spider,hypernym,movie,wikidata,always true
Jeffrey L. Ventura,CEO,Range Resources,wikidata,always true
CSX,hypernym,company,wikidata,always true
D.O.A.,hypernym,band,wikidata,always true
Three Dog Night,hypernym,band,wikidata,always true
tractor,/r/IsA,truck,conceptnet,always true
John,spouse,Laurie Barry,wikidata,always true
duchess,meronym,cell,wordnet/conceptnet,always true
geranium,hypernym,herb,wordnet/conceptnet,always true
doggy,meronym,lip,wordnet/conceptnet,always true
Atlanta,headquarter,Genuine Parts,wikidata,always true
Linda Gray,hypernym,person,wikidata,always true
house,meronym,attic,wordnet/conceptnet,always true
No Other Woman,hypernym,movie,wikidata,always true
Edith Kelly,spouse,Frank Jay Gould,wikidata,always true
Rixton,hypernym,band,wikidata,always true
cathedral,meronym,room,wordnet/conceptnet,always true
hunter,hypernym,worker,wordnet/conceptnet,always true
Luxottica,hypernym,company,wikidata,always true
skateboarding,hypernym,sport,wordnet/conceptnet,always true
neutral,hypernym,person,wordnet/conceptnet,always true
The Mayo Clinic,hypernym,movie,wikidata,always true
Hau Latukefu,band member,Koolism,wikidata,always true
Helene,child,Maurice Costello,wikidata,always true
hornet,meronym,eyelid,wordnet/conceptnet,always true
Lasse Hallström,director,The Hundred-Foot Journey,wikidata,always true
San Ramon,headquarter,Chevron,wikidata,always true
hide-and-seek,hypernym,game,wordnet/conceptnet,always true
lizard,/r/IsA,saurian,conceptnet,always true
Richard,spouse,Nora Marks Dauenhauer,wikidata,always true
"Prince Harry, Duke of",spouse,"Meghan, Duchess of Sussex",wikidata,always true
William Seward,child,James Watson Webb,wikidata,always true
John Belushi,band member,The Blues Brothers,wikidata,always true
Megan Ambuhl,spouse,Charles Graner,wikidata,always true
Scott Molina,hypernym,person,wikidata,always true
hospital,meronym,room,wordnet/conceptnet,always true
The Bens,hypernym,band,wikidata,always true
Madonna,spouse,Sean Penn,wikidata,always true
eagle,meronym,eyelid,wordnet/conceptnet,always true
Wintersun,hypernym,band,wikidata,always true
fowl,meronym,eye,wordnet/conceptnet,always true
person,/r/IsA,causal agent,conceptnet,always true
1991,release year,Shikari,wikidata,always true
uniform,hypernym,commodity,wordnet/conceptnet,always true
James Sinegal,founder,Costco,wikidata,always true
Barbara Pierce,child,Laura Bush,wikidata,always true
Mastan Alibhai Burmawalla,director,Race 2,wikidata,always true
Czesław Miłosz,hypernym,person,wikidata,always true
Greenwich,headquarter,XPO Logistics,wikidata,always true
2009,release year,Krish Trish and Baltiboy,wikidata,always true
Qaushiq Mukherjee,director,Ludo,wikidata,always true
Jean Walkinshaw,hypernym,person,wikidata,always true
Clara Frances Grant,child,Ulysses S. Grant III,wikidata,always true
cheese,/r/CapableOf,age well,conceptnet,always true
Jay A. Brown,CEO,Crown Castle International,wikidata,always true
duchess,hypernym,individual,wordnet/conceptnet,always true
John Converse,hypernym,person,wikidata,always true
Thor Industries,hypernym,company,wikidata,always true
Orbit,hypernym,band,wikidata,always true
lettuce,meronym,vegetable,wordnet/conceptnet,always true
Sylvain Blais,director,Monster High: Freaky Fusion,wikidata,always true
Richard Widmark,spouse,Susan Blanchard,wikidata,always true
Stanley Kubrick,director,Lolita,wikidata,always true
Justin Chon,director,Gook,wikidata,always true
madam,hypernym,individual,wordnet/conceptnet,always true
blade,/r/IsA,rotating mechanism,conceptnet,always true
Thomas Pangle,hypernym,person,wikidata,always true
Tessa,child,Jeff King,wikidata,always true
salmon,hypernym,fish,wordnet/conceptnet,always true
The Boy Who Harnessed the Wind,hypernym,movie,wikidata,always true
rider,/r/IsA,article,conceptnet,always true
Auschwitz: Blueprints of Genocide,hypernym,movie,wikidata,always true
packer,hypernym,worker,wordnet/conceptnet,always true
John H. B.,child,Benjamin Henry Latrobe,wikidata,always true
Mitchell A. Wilson,spouse,Stella Adler,wikidata,always true
James Wadsworth,hypernym,person,wikidata,always true
hotel,meronym,roof,wordnet/conceptnet,always true
adenocarcinoma,hypernym,disease,wordnet/conceptnet,always true
Prakash Satam,director,Little Singham in London,wikidata,always true
The Ridiculous 6,hypernym,movie,wikidata,always true
stud,hypernym,mammal,wordnet/conceptnet,always true
tarantula,meronym,cheek,wordnet/conceptnet,always true
Tench,child,James Tilghman,wikidata,always true
dingo,meronym,eyelid,wordnet/conceptnet,always true
Rick,child,Bill Macy,wikidata,always true
Frederik Pohl,hypernym,person,wikidata,always true
meteorologist,hypernym,individual,wordnet/conceptnet,always true
Ketsumeishi,hypernym,band,wikidata,always true
Harry Grindell Matthews,spouse,Ganna Walska,wikidata,always true
Rachel Elizabeth Baker Gale,child,Emily Frances Bowles,wikidata,always true
Keegan Kuhn,director,Cowspiracy: The Sustainability Secret,wikidata,always true
Thomas Gardner,child,Dorothy Ayer Gardner Ford,wikidata,always true
John Silvanus Wilson,spouse,Carol Espy-Wilson,wikidata,always true
Christopher von Uckermann,band member,RBD,wikidata,always true
bubble,/r/IsA,illusion,conceptnet,always true
Louisville,headquarter,Kindred Healthcare,wikidata,always true
gorilla,meronym,jaw,wordnet/conceptnet,always true
turtle,meronym,jaw,wordnet/conceptnet,always true
ma,meronym,vacuole,wordnet/conceptnet,always true
Ascharyachakit!,hypernym,movie,wikidata,always true
Arnold Schoenberg,hypernym,person,wikidata,always true
Vittorio,child,Ferruccio Giannini,wikidata,always true
Pat Mahomes,hypernym,person,wikidata,always true
Dick Lucas,band member,Subhumans,wikidata,always true
spiral,hypernym,decoration,wordnet/conceptnet,always true
dodo,meronym,jaw,wordnet/conceptnet,always true
Mission Control: The Unsung Heroes of Apollo,hypernym,movie,wikidata,always true
Thomas E. Jorden,CEO,Cimarex Energy,wikidata,always true
puddle,hypernym,water,wordnet/conceptnet,always true
chrysalis,meronym,organelle,wordnet/conceptnet,always true
Daron,child,Vartan Malakian,wikidata,always true
cat,/r/CapableOf,corner mouse,conceptnet,always true
Joan Whitney Payson,child,Helen Hay Whitney,wikidata,always true
Isaac,child,Krystyna Newman,wikidata,always true
Annie-Laurie Henriette Prinzessin von Auersperg,child,Sunny von Bülow,wikidata,always true
Bernhard Potschka,band member,Lokomotive Kreuzberg,wikidata,always true
llama,meronym,chest,wordnet/conceptnet,always true
Rose Pastor Stokes,hypernym,person,wikidata,always true
Sarah Cornelia,spouse,George Clinton,wikidata,always true
angleworm,meronym,vacuole,wordnet/conceptnet,always true
panda,meronym,ear,wordnet/conceptnet,always true
Wiesław Mirecki,spouse,Kaya Ploss Mirecka,wikidata,always true
parent,meronym,organelle,wordnet/conceptnet,always true
Felix Pollaczek,spouse,Hilda Geiringer,wikidata,always true
Lock Up,hypernym,band,wikidata,always true
fly,hypernym,insect,wordnet/conceptnet,always true
GGP,hypernym,company,wikidata,always true
digger,hypernym,individual,wordnet/conceptnet,always true
pigeon,meronym,face,wordnet/conceptnet,always true
Jan Suter,director,Coco y Raulito: Carrusel de ternura,wikidata,always true
L Brands,hypernym,company,wikidata,always true
prey,meronym,lip,wordnet/conceptnet,always true
poppy,meronym,cell,wordnet/conceptnet,always true
penguin,meronym,feather,wordnet/conceptnet,always true
